pudding  sweet
hemiprocnidae  bird_family
genus_circaetus  bird_genus
sicilian_mafia  organized_crime
somesthesis  interoception
immutableness  unchangingness
foetus  vertebrate
genus_coccothraustes  bird_genus
meld  rummy
eyewitness  witness
stomachache  aching
perseveration  tendency
taguan  asiatic_flying_squirrel
heinousness  inhumanity
suborder_mysticeti  animal_order
cyprinid_fish  cypriniform_fish
deliver  get
pharos  tower
maple  flowering_tree
torturing  persecution
mystification  artifact
carjack  pirate
chaser  drink
ratiocinate  reason
supplementary_benefit  social_insurance
stillbirth  abortion
old_world_monkey  monkey
xerotes  status
membrane  sheet
genus_atriplex  caryophylloid_dicot_genus
rynchopidae  bird_family
nasal_cavity  cavum
lizard  saurian
protective_garment  wearable
t_lymphocyte  lymphocyte
receiving_system  set
direct-grant_school  school
family_aphididae  arthropod_family
cleanup_spot  position
genus_amphicarpaea  rosid_dicot_genus
gravitation  travel
cardinal_compass_point  point
democratic_party  political_party
shadfly  ephemeropteran
satinwood_tree  tree
devisal  invention
spit_up  release
hustings  political_campaign
table_turning  psychic_phenomenon
wive  wed
protium  rosid_dicot_genus
salpinx  tube-shaped_structure
ulnar_nerve  nervus
liopelmidae  amphibian_family
xylomelum_pyriforme  shrub
levisticum  rosid_dicot_genus
plain_sailing  progression
rising  travel
underfelt  underlayment
stir_up  stimulate
visible_horizon  line
midbrain  neural_structure
air_force_academy  academy
somesthesia  perception
harnessed_antelope  antelope
prince  patrician
red_cole  herbaceous_plant
badlands  soil
sedimentation  geological_phenomenon
kilobyte  computer_memory_unit
genus_gerardia  asterid_dicot_genus
elicit  infer
hunt_club  society
richmondena_cardinalis  finch
selenarctos  mammal_genus
storage_area  enclosure
come_on  start_out
genus_leucocytozoon  protoctist_genus
genus_cichorium  asterid_dicot_genus
forehand_drive  drive
draw_close  pull
relaxer  agent
grab  seize
transliterate  rewrite
ratibida  asterid_dicot_genus
storeria  reptile_genus
reticule  network
dean  cardinal
vitreous_humour  liquid_body_substance
na-dene  indian
typeface  type
hamelia  shrub
sea_turtle  turtle
feminineness  sexuality
fugitive_from_justice  outlaw
striate_cortex  cortical_region
viburnum_dentatum  shrub
dysentery  infectious_disease
hawaiian  oceanic
graduate_school  school
philosophy  liberal_arts
merchant  businessperson
break_away  split_up
fictional_animal  fauna
navy_yard  shipyard
floral_leaf  leafage
shadow_cabinet  cabinet
hazardia  asterid_dicot_genus
taraxacum  asterid_dicot_genus
inside_information  information
laurel_family  magnoliid_dicot_family
distance  spatial_arrangement
natural_science  scientific_discipline
bass  musical_instrument
hymenophyllum  fern_genus
foreign_aid  financial_aid
wanness  skin_colour
justify  forgive
monarch_butterfly  danaid_butterfly
irish_person  european
reading_room  room
acrodont  fauna
tricolour_tube  colour_tv_tube
doubter  soul
oxyphencyclimine  anticholinergic_drug
variable_resistor  resistor
maraud  raid
bw  warfare
strawberry-shrub_family  magnoliid_dicot_family
epigastric_vein  venous_blood_vessel
psychopsis  monocot_genus
glamour  beauty
notonectidae  arthropod_family
beatify  uplift
bird's_foot  foot
varsity_sock  sock
july_4  public_holiday
wild_rape  weed
desensitization  decrement
select_committee  committee
intolerantly  blending
gymnastics  sport
pharaoh_of_egypt  swayer
motor_neuron  neuron
yellow_trumpet  pitcher_plant
hatband  stripe
matinee_idol  star
roof_mushroom  fungus_genus
pelargonium_peltatum  geranium
test_fly  pilot
parenthesis-free_notation  mathematical_notation
plural_form  word_form
teenager  juvenile_person
replenishment  filling
swamp  make_full
focussing  immersion
apostolic_delegate  delegate
phleum  monocot_genus
central_bank  financial_organization
shithead  stupid_person
stanza  textual_matter
lagostomus  mammal_genus
rake_off  take_in
typicality  normality
rhizophora  magnoliopsid_genus
turning_away  rejection
genus_styrax  magnoliopsid_genus
mongolic_language  altaic_language
refrigerator  white_goods
solidago  asterid_dicot_genus
genus_budorcas  mammal_genus
genus_rauwolfia  magnoliopsid_genus
herero  bantu
overstatement  misrepresentation
flatfish  spiny-finned_fish
linguistics  scientific_discipline
talk_about  treat
enrichment  improvement
tribesman  member
genus_atrichornis  bird_genus
glaucoma  eye_disease
mimicry  personation
typewriter_font  typeface
pachyderm  placental_mammal
bassine  fibre
pollute  soil
genus_aquila  bird_genus
trust_busting  government_activity
ecosoc_commission  committee
practical_joke  trick
give_the_gate  split_up
breton  frenchwoman
family_chelydridae  reptile_family
caryophylloid_dicot_genus  magnoliopsid_genus
bifocals  spectacles
theist  worshipper
gesture  movement
psocidae  arthropod_family
genus_delphinium  magnoliid_dicot_genus
purpura  blood_disorder
remaking  creation
allegory  style
cuirass  suit_of_armour
highlight  particular
mustela  mammal_genus
landing_place  structure
pleurotus  fungus_genus
vinca  magnoliopsid_genus
fancier  adorer
nimby  protester
wetting_agent  chemical_agent
genus_brickelia  asterid_dicot_genus
compel  take
sideline  product_line
combat_pilot  pilot
palo_santo  flowering_tree
manor  landed_estate
mistreatment  practice
redbird_flower  slipper_spurge
shivaist  hindu
plating  coating
townee  townsman
km  metric_linear_unit
tumulus  mound
buckskins  knickers
spare_tire  fatty_tissue
trumpetfish  teleostan
profile  write
mustela_nigripes  musteline_mammal
macrotis  mammal_genus
ointment  toiletry
imperfectness  state
chapel  place_of_worship
caecilian  amphibian
saphar  islamic_calendar_month
descendent  relative
old_world_vulture  vulture
zygomycetes  class
little_owl  owl
golf  play
mummy  mother
dopa  aminoalkanoic_acid
nosh-up  repast
introversion  unsociableness
synthetic_thinking  reasoning
clew  lump
rug  floor_covering
stp  standard_pressure
emergency_procedure  process
felicitate  wish
curvet  spring
saucepan  pan
fold  social_group
whirler  mechanism
urethral_orifice  porta
speciate  evolve
fog  aerosol
epitope  situation
family_bangiaceae  protoctist_family
rubus_ursinus_loganobaccus  western_dewberry
hoosgow  slammer
second_period  section
primary_colour  colouring
pouched_mole  pouched_mammal
water_bearer  soul
syncope  loss_of_consciousness
smith  trained_worker
cedarwood  wood
rockcress  cress_plant
gleaner  fieldhand
genus_avena  plant_genus
resemble  tally
talking_picture  picture_show
software_system  computer_code
hypostasis_of_christ  maker
think_over  think
crayfish  decapod_crustacean
mulct  penalty
mar  visual_aspect
unsanitariness  sanitary_condition
pereskia  caryophylloid_dicot_genus
denomination  nongovernmental_organization
jingle-jangle  resound
social_scientist  scientist
drawstring_bag  bag
mailing_address  address
sportscast  transmit
memorize  study
join_forces  work
isometry  single-valued_function
traveller's_tree  woody_plant
over-crowding  crowding
news_media  print_media
geneticist  life_scientist
lemur  primate
warning_of_attack  tactical_warning
racehorse  horse
pursuance  continuation
grapefruit  citrus_fruit
carp  cyprinid_fish
araucaria  coniferous_tree
podocarpus_family  gymnosperm_family
apogamy  apomixis
hydrometry  mensuration
fern_ally  pteridophyte
genus_canangium  magnoliid_dicot_genus
pupillary_sphincter  sphincter_muscle
family_dryopteridaceae  fern_family
reawaken  waken
third_eyelid  protective_fold
recurrent_event  occurrent
water_strider  water_bug
teleselling  selling
fart  act_reflexively
flower_girl  little_girl
outfox  surpass
dissolution  termination
loungewear  wearable
slant-eye  oriental_person
crackdown  suppression
colour_tv  television_system
feeler  tentacle
epithet  word_picture
family_bradypodidae  mammal_family
tenrecidae  mammal_family
puerility  immaturity
chachalaca  gallinaceous_bird
raiser  sodbuster
grindle  ganoid_fish
order_andreaeales  plant_order
rete  structure
wail  complaint
centerfield  tract
rubia_cordifolia  rubiaceous_plant
genus_acrostichum  fern_genus
listening  sensing
mniaceae  moss_family
mullah  muslim
baltic-finnic  non-ugric
dirty_story  laugh
uredinales  fungus_order
sickness_benefit  benefit
organic_process  process
taximan  driver
conservative_judaism  judaism
genus_branta  bird_genus
xanthosoma  monocot_genus
juxtaposition  positioning
premium_bond  bond_certificate
work_time  time_period
donate  present
oil_gland  exocrine_gland
hebephrenic_schizophrenia  schizophrenic_psychosis
colon  large_intestine
primp  trick_up
chrome  cr
seclusion  separation
swindle  fraud
protection  activity
wild_pumpkin  gourd_vine
electronics  physics
grape_hyacinth  liliaceous_plant
genus_catharacta  bird_genus
polygalaceae  rosid_dicot_family
ordinary_shares  stock
tough_luck  portion
cerebral_hemorrhage  hemorrhage
systeme_international_d'unites  metric_system
deliverer  soul
disjuncture  separation
conservativism  political_theory
subvert  force_out
point_up  stress
benefit  payment
genus_casuarina  magnoliopsid_genus
four-flusher  trickster
image_breaker  waster
columba_fasciata  pigeon
platanthera  monocot_genus
stagnation  inactivity
coniferous_tree  gymnospermous_tree
foist  stick_in
torodal  nsaid
elapid_snake  snake
family_cycadaceae  gymnosperm_family
signalization  indication
heterology  unsimilarity
poverty  financial_condition
syngonium  monocot_genus
october_12  public_holiday
enjoin  veto
november_5  day
wraith  shadow
modulus_of_elasticity  modulus
heartleaf  herbaceous_plant
borrowing  appropriation
true_cat  feline
reheel  touch_on
subfamily_carpinaceae  hamamelid_dicot_family
stampede  take_flight
deodourise  modify
roridulaceae  magnoliopsid_family
visual_joke  laugh
mother_hen  soul
typewrite  write
mattress  pad
santolina  asterid_dicot_genus
pedestrian_bridge  span
genus_feijoa  magnoliopsid_genus
jungle_fowl  gallinaceous_bird
polemize  scrap
male_aristocrat  patrician
genus_cycloloma  caryophylloid_dicot_genus
causing  human_activity
sinus  cavum
badness  quality
wedding_party  party
flatterer  follower
agglutinate  stick
grammatical_constituent  syntagma
abound  be
real_storage  store
viscosimetry  mensuration
kick_around  step
presentment  show
jambos  magnoliopsid_genus
germanic_language  indo-hittite
titfer  lid
tec  policeman
stealth  hiding
sunspot  spot
insufficiency  amount
sign_up  hire
class_basidiomycetes  class
rocket_scientist  technologist
subclass_actinopoda  class
water_back  water_heater
tonality  musical_notation
molucella_laevis  herbaceous_plant
unionization  organization
obstructionism  resistance
yellow_lady-slipper  slipper_orchid
tide_rip  turbulency
foe  rival
fuse  outfit
lopid  medicine
underpants  unmentionable
onanist  soul
scoter  sea_duck
tyrannidae  bird_family
edge_tool  cutting_tool
feijoa_bush  shrub
wampee  water_plant
repugn  oppose
united_states_president  head_of_state
step_dancing  terpsichore
spider_orchid  orchidaceous_plant
secret_intelligence_service  international_intelligence_agency
suddenness  precipitation
epauliere  plate_armour
tearing_down  devastation
beta_blocker  blocking_agent
halictidae  arthropod_family
pure_imaginary_number  imaginary_number
anomaly  abnormality
pichiciego  armadillo
yottabit  computer_memory_unit
bacteria_family  family
modernness  up-to-dateness
put_across  transmit
prose  writing_style
latent_content  substance
rhythm_and_blues_musician  player
rhincodon  fish_genus
penitent  religious_person
eye_disease  disease
lexicon  wordbook
remainder  sell
cutback  step-down
shifting  movement
sawfly  hymenopterous_insect
cauda  structure
chin_up  raise
martes  mammal_genus
publicity  substance
iodochlorhydroxyquin  fungicide
secretiveness  unsociableness
psychotic_person  sufferer
taccaceae  liliid_monocot_family
mem  letter_of_the_alphabet
kitembilla  tree
tobacco_user  consumer
word-worship  veneration
extirpate  withdraw
breadfruit_tree  fruit_tree
cypress_pine  cypress
consumer_goods  trade_good
supply_chamber  mechanical_device
chieftainship  spot
parodist  humourist
hornet  vespid_wasp
scab  work
paleness  skin_colour
cypriote  european
festination  symptom
bugleweed  herbaceous_plant
woman's_doctor  specialist
genus_palometa  fish_genus
genus_attalea  monocot_genus
prove  show
genus_dromaius  bird_genus
anathema  execration
culpable_negligence  nonperformance
grass  gramineous_plant
cackler  oscine_bird
snout  olfactory_organ
photopic_vision  visual_sense
'hood  vicinity
fig_moth  pyralid_moth
demobilization  social_control
genus_camellia  dilleniid_dicot_genus
physaria  dilleniid_dicot_genus
intemperateness  vice
mon-khmer  munda-mon-khmer
division_chlorophyta  division
pelecanidae  bird_family
antiseptic  medicine
reminiscence  remembering
mill-hand  workman
hipster  social_reformer
take_back  take
redeemer  money_handler
amoebiosis  protozoal_infection
os_nasale  os
viscousness  eubstance
bulwark  defend
genus_eriogonum  magnoliopsid_genus
great_circle  line
family_annonaceae  magnoliid_dicot_family
mark_out  trammel
social_event  event
destabilize  modify
imbroglio  situation
united_states_department_of_defense  executive_department
abnegator  presenter
craniometric_point  landmark
gaseousness  eubstance
tittle-tattle  schmooze
genus_bulnesia  rosid_dicot_genus
spelling  writing_system
depute  designate
horny_frog  iguanid_lizard
vigna_radiata  leguminous_plant
tobacco_plant  herbaceous_plant
richmondena  bird_genus
robin_redbreast  thrush
limb  member
roll-on_roll-off  transport
break_dance  trip_the_light_fantastic_toe
catheterization  surgical_process
wild_celery  water_plant
tilia  dilleniid_dicot_genus
dough  mixture
standing_room  way
resurge  uprise
genus_carthamus  asterid_dicot_genus
musa  monocot_genus
getting  human_activity
low-pitched  seize
meeter  participant
genus_catoptrophorus  bird_genus
solar_calendar  calendar
tiliaceae  dilleniid_dicot_family
polianthes  liliid_monocot_genus
tracer  instrument
lawlessness  disorder
islets_of_langerhans  endocrine_gland
dhole  wild_dog
rowing  sport
tapeworm  platyhelminth
xiphias  fish_genus
family_bryaceae  moss_family
coulomb  quantity_unit
majority_opinion  opinion
stick_on  attach
get_the_goods  see
enhance  meliorate
labridae  fish_family
courtier  tender
genus_dactylopius  arthropod_genus
samia  arthropod_genus
rougeberry  houseplant
anisette_de_bordeaux  liqueur
educational_institution  institution
sitophylus  arthropod_genus
prairie_grouse  grouse
hydrozoa  class
artistic_production  creative_activity
preemption  legal_principle
tax_shelter  step-down
manioc  root
stoma  porta
yttrium  metallic_element
cherrystone_clam  venus_mercenaria
ruck_up  wrinkle
social_climber  upstart
quechuan_language  indian
trained_worker  worker
bidder  hand
teiidae  reptile_family
rockingham_podocarp  coniferous_tree
face-off  start
vampire_bat  microbat
genus_diceros  mammal_genus
vantage  plus
radiolocation  measuring_system
symbolic_logic  system_of_logic
hardness  eubstance
ventral_root  motor_nerve
neuroleptic_drug  tranquillizer
double_dutch  gibberish
genus_coragyps  bird_genus
hedeoma  asterid_dicot_genus
lasix  water_pill
vascularize  modify
uninterestingness  powerlessness
shasta_daisy  composite_plant
pericardium  serous_membrane
outlander  traveller
clitoris  erectile_organ
toothbrush  mustache
measuring_stick  measuring_system
suborder_ceratopsia  animal_order
tenacity  purpose
equestrian_sport  riding
conserve  preserve
psittacus  bird_genus
polanisia_graveolens  herbaceous_plant
xtc  methylenedioxymethamphetamine
tension  strain
take_water  move_into
lop_off  detach
squabble  fence
photometry  mensuration
uranology  physics
baltic_state  geographical_region
swampy_beggar-ticks  sticktight
rotting  decay
enrobe  trick_up
forehead  lineament
humming  noise
jovian_planet  planet
genus_amsonia  magnoliopsid_genus
genus_conuropsis  bird_genus
placuna  mollusk_genus
sand_cherry  shrub
histologist  anatomist
open_fireplace  recess
body_servant  servant
sports_meeting  athletics
fortune_cookie  cooky
had_crime  offense
polydactylus  fish_genus
privatization  social_control
summerset  tumble
stopper  turn
apatite  mineral
angelim  tree
decapod  cephalopod_mollusk
schizophrenic_psychosis  psychosis
idolizer  pagan
writhe  move
irish_moss  red_algae
genus_pyracantha  rosid_dicot_genus
encyclopedia  reference_work
unguent  therapeutic
order_diapensiales  plant_order
bad_egg  bad_person
eternal_damnation  state
asterid_dicot_family  magnoliopsid_family
languisher  unfortunate_person
researcher  scientist
barley  cereal_grass
filter  device
pteridium  fern_genus
convection  natural_process
pull_up  stop
sea_trifoly  herbaceous_plant
genus_argemone  dilleniid_dicot_genus
pullulation  asexual_reproduction
penetrate  join
monochamus  arthropod_genus
suede_cloth  textile
spielmeyer-vogt_disease  inherited_disorder
biochemistry  organic_chemistry
police_chief  policeman
congruousness  harmony
hexagrammos  fish_genus
conclude  terminate
celery_pine  coniferous_tree
republican_guard  military_unit
trip_the_light_fantastic_toe  move
landing_approach  coming
distinguished_service_cross  ribbon
ctc  office
rockrose_family  dilleniid_dicot_family
place_of_business  establishment
knee_piece  plate_armour
innkeeper  patron
hagiography  life_story
councillor  member
strayer  trailer
conjunctiva  mucous_membrane
amniotic_sac  sac
lepisosteus  fish_genus
premium  reward
ouzo  strong_drink
recessional_march  marching_music
genus_babyrousa  mammal_genus
sivaism  sect
cerapteryx_graminis  owlet_moth
family_dinornithidae  bird_family
genus_anogramma  fern_genus
typesetting_machine  printing_machine
credence  mental_attitude
lunaria  dilleniid_dicot_genus
snuffer  soul
chordate  fauna
pterocles_alchata  sandgrouse
demagnetization  natural_process
kitchen_cabinet  pack
solanopteris  fern_genus
cooker  cookware
religious_school  school
kam-tai  sino-tibetan_language
irish_gaelic  goidelic
malignancy  disease
ipomoea  magnoliopsid_genus
conglobe  form
economist  social_scientist
monetary_fund  money
triakidae  fish_family
cash_machine  machine
careerist  professional_person
bathymeter  measuring_system
fan  device
model_t  motorcar
gate-crash  irrupt
hoecake  journey_cake
prunus  rosid_dicot_genus
hoover  vacuum_cleaner
light_unit  emu
daddy_longlegs  two-winged_insects
phonetics  acoustics
schmooze  conversation
weather_sheet  line
thimbleberry  raspberry_bush
vowel_sound  speech_sound
trichechus  mammal_genus
genus_streptocarpus  asterid_dicot_genus
get_on  move_into
encounter  joining
severalize  tell_apart
tour_of_duty  time_period
phoxinus  fish_genus
soapberry_tree  tree
monition  reproval
surface_lift  ski_tow
motorization  implementation
neodymium  metallic_element
decennium  time_period
divisor  number
laugh_softly  laugh
periwinkle_plant_derivative  cancer_drug
workout  travail
prunella  asterid_dicot_genus
fishnet  net
suet_pudding  pudding
fakery  dissimulation
phlebotomus  arthropod_genus
hudud  shariah_law
macedonian  european
cassava  shrub
miniature  picture
cayman  crocodilian_reptile
join  tie
jazz  popular_music_genre
teratogenesis  ontogeny
minuscule  running_hand
pluck  pull_together
taproom  room
stokehole  chamber
cricket_equipment  sports_equipment
obstetrical_toad  toad_frog
gyrus  structure
peroration  ending
lectureship  spot
excellence  quality
piciformes  animal_order
sarcodinian  protozoon
pay_heed  listen
camber  curve
plosion  tone_ending
laminariaceae  protoctist_family
enplane  ship
genus_aspidelaps  reptile_genus
trophoblast  tissue_layer
liquid_body_substance  body_substance
scratch_up  incise
olfactory_organ  chemoreceptor
uta  reptile_genus
run_down  trail
mussiness  disorderliness
tennis  court_game
interior  region
phoenix  monocot_genus
compass_plant  composite_plant
golgi_complex  vesicle
communization  organization
cell_phone  telephone
salix_tristis  willow_tree
mediterranean_hackberry  nettle_tree
dullard  unpleasant_person
unwelcome_guest  trespasser
true_lobster  lobster
standard_time  time
dice  cut
chop_up  cut
sixth_cranial_nerve  cranial_nerve
cow_dung  muck
nazi  fascist
white_mallow  hollyhock
buy_into  put
high_german  west_germanic_language
woodpecker  piciform_bird
genus_galax  dilleniid_dicot_genus
legend  story
reaper_binder  reaper
simplicity  quality
liveness  physiological_property
lateral_line_organ  sensory_receptor
onion  veggie
cherimoya_tree  custard_apple_tree
irreproducibility  unreliableness
order_endomycetales  fungus_order
tartness  taste_sensation
newness  age
angular_unit  unit_of_measurement
indefinite_quantity  quantity
gradate  set_up
record_book  fact
peg_down  attach
subdivision_ascomycotina  division
guillemot  auk
palace  residence
shnorrer  scrounger
relish  condiment
dress_ship  ornament
singing_voice  vox
song  animal_communication
orchard_apple_tree  apple_tree
genus_cydonia  rosid_dicot_genus
millstone  impediment
monomorium  arthropod_genus
uranyl_radical  radical
steatornis  bird_genus
prang  crash
rice-grain_fritillary  fritillary
sciuridae  mammal_family
call_it_quits  stop
prehistory  time_period
live_oak  oak_tree
debt  liabilities
switch_over  turn
tricholomataceae  fungus_family
eiderdown  quilt
sprain  wrench
boswell  supporter
mastigophora  class
tangibleness  physicalness
summer_squash_vine  squash_vine
lychee  edible_fruit
nalfon  nsaid
use_of_goods_and_services  demand
overbearingness  lordliness
coconut_meat  solid_food
computer_file  file
obnoxiousness  offensiveness
mimosa  shrub
trapezoid  tetragon
cucumis_sativus  melon_vine
arteritis  rubor
modeller  creator
genus_elanus  bird_genus
maianthemum  liliid_monocot_genus
genus_chiton  mollusk_genus
pest  fauna
pagophila  bird_genus
instructorship  spot
marshall  peace_officer
delay  wait
active  soul
plant_structure  natural_object
clerk  employee
gratification  satisfaction
centesis  puncture
mercurialis  rosid_dicot_genus
sanwa_millet  millet
goldbrick  put-on
wild_sarsparilla  suffrutex
recreation  activity
prickly_pear_cactus  cactus
requite  give
perfective_tense  tense
sea_poker  scorpaenoid_fish
family_carabidae  arthropod_family
slaughterhouse  edifice
tying_up  arrival
grison_vittatus  musteline_mammal
justice_department  executive_department
genus_carpodacus  bird_genus
smite  damage
mexican_bean_beetle  ladybug
outstay  stay
ghq  military_headquarters
mother-in-law_plant  arum
genus_fissurella  mollusk_genus
cardinal  bishop
dial_telephone  telephone_set
simple_leaf  leafage
pseudoscorpion  arachnoid
acorn_tube  vacuum_tube
risc  computer_architecture
walk_on_air  rejoice
orobanchaceae  magnoliopsid_family
erythroxylon_truxiuense  shrub
skank  waste_product
capriole  spring
provoker  troubler
zephyr  wind
omani_monetary_unit  monetary_unit
scorpaenid_fish  scorpaenoid_fish
bitterwood_tree  tree
zenith  celestial_point
podiatry  medicine
infernal  departed
public_office  spot
reason_out  think
trumpet_weed  herbaceous_plant
maritime_law  law_of_nations
second_sight  psychic_phenomenon
venogram  x_ray
idolatry  worship
bathos  ending
intervenor  party
pudding_face  visage
sanfoin  herbaceous_plant
stichaeidae  fish_family
iguanodontidae  reptile_family
vulgarity  inelegance
permutation  operation
onanism  autoerotism
outfight  vanquish
inductive_reasoning  colligation
brownness  spectral_colour
meninx  tissue_layer
ration  limit
oil_pump  pump
bouillon_cube  seasoning
juke_joint  joint
genus_chalcis  arthropod_genus
air_force_space_command  command
prevailing_wind  wind
trapping  tack
boffin  researcher
jamaica_shorts  trunks
concert_dance  stage_dancing
shield_fern  fern
slowing  modification
ouster  soul
axillary_artery  artery
military_training  training
hysterical_neurosis  psychoneurosis
vanishing_cream  ointment
sustaining_pedal  treadle
infectious_disease  communicable_disease
dynapen  bactericide
petabit  computer_memory_unit
runoff  flowing
storage_allocation  assignment
lipitor  statin_drug
genus_forsythia  magnoliopsid_genus
musteline_mammal  carnivore
temptation  influence
mexitil  antiarrhythmic_medication
plum-yew_family  gymnosperm_family
lessening  modification
genus_dendrolagus  mammal_genus
win  victory
modulus  coefficient
fincen  law_enforcement_agency
lymantriidae  arthropod_family
watercress  cress_plant
mellivora  mammal_genus
firing  onslaught
genus_clupea  fish_genus
hutu  bantu
saltwater_fish  seafood
plectorrhiza  monocot_genus
slave_state  american_state
skedaddle  turn_tail
scotsman  european
restfulness  inertia
absinthe  liqueur
cybernation  mechanization
gasterophilidae  arthropod_family
zizania  monocot_genus
smooth_earthball  puffball
painfulness  feeling
ecclesiastical_calendar  new_style_calendar
psophocarpus  rosid_dicot_genus
pyramidal_tract  motor_nerve
selar_crumenophthalmus  scad
genus_luffa  magnoliopsid_genus
sycamore_fig  fig_tree
sheer  steer
mortality_rate  rate
toreador  soul
serpasil  antihypertensive_drug
diapsid_reptile  reptilian
systematization  organization
toxotidae  fish_family
insensitivity  unfitness
uptake  body_process
chief_of_staff  officer
marasmius  fungus_genus
thermal_spring  spring
leptoptilus_dubius  stork
sewing_stitch  stitch
suborder_nematocera  animal_order
hound  villain
silybum  asterid_dicot_genus
pheasant  phasianid
baby_bed  piece_of_furniture
optimize  perfect
parnassia  swamp_plant
echinoidea  class
preceptor  teacher
yerba_buena  herbaceous_plant
hoist  lifting_device
the_trots  looseness_of_the_bowels
web_map_service  programme
family_ephemeridae  arthropod_family
place_of_worship  edifice
downgrade  rate
werlhof's_disease  autoimmune_disorder
santalum  dilleniid_dicot_genus
adductor_muscle  striated_muscle
najadaceae  monocot_family
headway  progression
enjoy  utilize
changeling  youngster
court_order  writ
yielding  relinquishment
culinary_art  preparation
family_callitrichaceae  rosid_dicot_family
ectasis  distention
partition  structure
middlebrow  soul
genus_gastroboletus  fungus_genus
thorn_apple  shrub
triticum_turgidum  wheat
genus_plectranthus  asterid_dicot_genus
wto  world_organization
embalm  preserve
genus_sassafras  magnoliid_dicot_genus
sea_elephant  true_seal
expectorate  withdraw
genus_dipsosaurus  reptile_genus
creek_confederacy  federation
advertency  regard
maja_squinado  spider_crab
contributory_negligence  nonperformance
playing_card  card
drill_hole  excavation
opener  hand_tool
scleroparei  animal_order
renew  re-create
liaison  sexual_relationship
inquiry_agent  sherlock
wile  dissimulation
enrollee  soul
urban_area  geographical_region
syngnathidae  fish_family
